"genes"	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"	"unique"
"hsa-miR-200b-3p"	0.366118337369157	2.36756027843588	1.71277786815722	0.190625352626688	0.45382415605763	FALSE
"hsa-miR-136-5p"	-0.502257901716957	5.2860110442953	1.71243939849346	0.19066917667699	0.45382415605763	FALSE
"hsa-miR-15b-3p"	-0.28906564729303	5.36418841613983	1.70335182925139	0.191850213700263	0.454756062104328	FALSE
"hsa-miR-191-5p"	0.209066187466962	12.2456972632695	1.69444488037448	0.193016070987385	0.45564449544563	FALSE
"hsa-let-7d-5p"	0.198435346292766	11.7186734672909	1.67470595441807	0.195629394458292	0.458473801194547	FALSE
"hsa-miR-191-3p"	0.280673257976768	3.89173532587008	1.66306253033931	0.197190333972617	0.458473801194547	FALSE
"hsa-miR-501-5p"	-0.381982309993747	1.88106343448781	1.66185253884832	0.197353383316943	0.458473801194547	FALSE
"hsa-miR-7976"	-0.450632148464042	1.01133012353953	1.66151836305252	0.197398442180986	0.458473801194547	FALSE
"hsa-miR-590-5p"	-0.385531209091212	3.20183262132912	1.64928680853962	0.199056028057707	0.460466956470841	FALSE
"hsa-miR-30c-2-3p"	-0.333971313889227	6.7934110067758	1.62412747684536	0.202517228952612	0.466599695506818	FALSE
"hsa-miR-30b-3p"	0.481552628922985	1.18493131454449	1.61455857548295	0.203852188929578	0.467026335454393	FALSE
"hsa-miR-3909"	-0.445010244292151	1.0107653550189	1.60912098268032	0.204615408866202	0.467026335454393	FALSE
"hsa-miR-331-5p"	0.36575957503787	2.17536732355014	1.60543399411784	0.205134831371461	0.467026335454393	FALSE
"hsa-miR-503-5p"	0.346189616396199	4.28226992809647	1.59405429180542	0.206747843677816	0.467891013252894	FALSE
"hsa-miR-4435"	0.577773377907548	0.876137924086073	1.59130874247349	0.207139250658833	0.467891013252894	FALSE
"hsa-miR-4775"	-0.321851949946545	3.34423052651376	1.58065933349952	0.208665747392863	0.469497931633941	FALSE
"hsa-miR-660-3p"	-0.542522140170896	0.689873133371234	1.56744958847768	0.210577782175102	0.471956430088944	FALSE
"hsa-miR-30e-5p"	-0.203127215639626	10.749155835093	1.5345474718313	0.215431231272645	0.480903375227883	FALSE
"hsa-miR-18a-3p"	-0.520314212295932	0.700653482478988	1.52915346835353	0.216239538513927	0.480903375227883	FALSE
"hsa-miR-3617-5p"	-0.412516464024538	1.6394451435173	1.51715565964529	0.218050434675981	0.4829486457646	FALSE
"hsa-miR-410-5p"	0.737048676207502	0.343714587787385	1.51121020810748	0.218954512194274	0.4829486457646	TRUE
"hsa-miR-147b-3p"	0.543337934795139	0.620189194976822	1.50649591892741	0.219674557622093	0.4829486457646	TRUE
"hsa-miR-3913-5p"	-0.626436393821656	1.58885549133446	1.48840681905993	0.222463815467414	0.487061552945999	FALSE
"hsa-miR-92b-5p"	0.445280256277309	2.49802244353706	1.48344340977647	0.223236545100249	0.487061552945999	FALSE
"hsa-miR-4521"	0.301653798508006	7.14697490305984	1.4727844681068	0.224906880735959	0.487809331416312	FALSE
"hsa-miR-24-1-5p"	-0.281847257790945	3.30936475548322	1.47046044886273	0.225273059299894	0.487809331416312	FALSE
"hsa-miR-1291"	0.398834376948159	9.10830228642034	1.45399780122278	0.227887553223659	0.49162258672969	FALSE
"hsa-miR-301a-3p"	-0.247735628963901	6.09031299281528	1.44558910010343	0.229237039539553	0.492688562592472	FALSE
"hsa-miR-455-3p"	0.251007352699502	6.54454927771902	1.43487059205594	0.23097119711188	0.494570295674509	FALSE
"hsa-miR-186-5p"	-0.208387541837191	10.5376900239987	1.42859396577683	0.231994041112716	0.494920621040461	FALSE
"hsa-miR-138-5p"	-0.333218107729789	12.2929230912707	1.41501756544221	0.234225231402188	0.497836654198008	FALSE
"hsa-miR-222-5p"	0.290278182318377	2.91578999486611	1.40604470062333	0.235714106748469	0.499159284879111	FALSE
"hsa-miR-323b-3p"	0.270550116699236	5.84770288497122	1.39175872901299	0.238108316846889	0.502382382797831	FALSE
"hsa-miR-431-3p"	0.564007619538958	2.98523950793582	1.3814380221025	0.239856351688042	0.504223571431796	FALSE
"hsa-miR-20b-5p"	-0.428064898590929	1.32209247349449	1.36910427592535	0.241965841106637	0.506808452645174	FALSE
"hsa-let-7a-2-3p"	0.225602701001749	4.97994899835926	1.35005095364161	0.245269209221177	0.511866175765934	FALSE
"hsa-miR-2110"	0.255057620358458	4.05377621535954	1.33232464163565	0.248392082348385	0.516512055713608	FALSE
"hsa-miR-1255a"	-0.485529263459583	1.08369939952505	1.32454795851726	0.249777462543136	0.517524526708081	FALSE
"hsa-miR-3129-3p"	-0.40858301142611	0.724219865310165	1.30870274169164	0.252629665400625	0.521558018891612	FALSE
"hsa-miR-7156-5p"	-0.57779411409808	0.144724100535541	1.29420730967059	0.255274042417226	0.525135172972579	TRUE
"hsa-miR-3157-5p"	0.416605090162732	0.810267558702738	1.27678076932163	0.258498455910563	0.529875838450123	FALSE
"hsa-miR-342-3p"	0.206285863577665	9.28052486959151	1.23900276707363	0.26566333150755	0.540797787896707	FALSE
"hsa-miR-361-3p"	-0.21260697577671	8.57982568706303	1.23878952888793	0.265704468706195	0.540797787896707	FALSE
"hsa-miR-1228-3p"	0.500732028835316	1.74308860885091	1.22731639865151	0.267929570126509	0.543406452087567	FALSE
"hsa-miR-101-5p"	-0.686025464434536	0.672825470594925	1.2193272823056	0.269492713536899	0.5446589578851	TRUE
"hsa-let-7f-1-3p"	-0.259714607731346	3.56454873308122	1.20449617348527	0.272424886433283	0.54865991113836	FALSE
"hsa-miR-188-5p"	-0.32195098755451	1.89649407622504	1.18514984605866	0.276310077455012	0.554545660676261	FALSE
"hsa-miR-4326"	-0.333334812185364	2.66989055869143	1.16830821357395	0.279749129909865	0.555393156844916	FALSE
"hsa-miR-491-5p"	0.199204955910455	5.63240278821502	1.16574314937673	0.2802776382409	0.555393156844916	FALSE
"hsa-miR-6892-5p"	0.49130834184374	0.640161033375691	1.16268171886747	0.280910069090208	0.555393156844916	FALSE
"hsa-miR-370-3p"	0.336939749075566	8.20174361369511	1.16070185677602	0.281320029074257	0.555393156844916	FALSE
"hsa-miR-582-3p"	-0.278180873609528	3.63947661287995	1.1541311268016	0.282686026953955	0.555393156844916	FALSE
"hsa-miR-1226-3p"	0.312118373718679	3.69455641142084	1.15089156435295	0.283362591748984	0.555393156844916	FALSE
"hsa-miR-125b-1-3p"	0.196669194735616	7.47412873583824	1.15032118809065	0.283481923806259	0.555393156844916	FALSE
"hsa-miR-758-3p"	-0.303557982083683	3.91152812057735	1.13656555331555	0.286379214797177	0.559167551603979	FALSE
"hsa-miR-362-3p"	-0.682247690633731	0.927670731664519	1.12749155170737	0.288311028547475	0.561037677173464	FALSE
"hsa-miR-532-3p"	-0.289151018449	6.01476835840873	1.12111314799141	0.289678890613532	0.561560527045316	FALSE
"hsa-miR-5010-3p"	-0.485335747889454	0.60083425537516	1.11716566917536	0.290529578228306	0.561560527045316	TRUE
"hsa-miR-382-3p"	-0.352256328252304	4.62208129114844	1.10192429702188	0.29384418910147	0.566067735526578	FALSE
"hsa-miR-1468-5p"	0.290985111150945	2.10828764702041	1.09433387466448	0.295512953374409	0.567384870478865	FALSE
"hsa-miR-27b-5p"	0.212559222785981	4.77977105275251	1.08874946577868	0.296748452971528	0.567864149207973	FALSE
"hsa-miR-32-3p"	0.269690209872704	2.6647895768003	1.07527287496833	0.299757458191643	0.571722834166843	FALSE
"hsa-miR-16-2-3p"	-0.373221678331098	2.46694781577145	1.06944645162731	0.301070512733315	0.572332063809866	FALSE
"hsa-miR-624-5p"	-0.373598148955805	0.733496799140346	1.05051928917047	0.305387520224014	0.578343256013365	FALSE
"hsa-miR-627-5p"	-0.287297741054338	2.4961009156176	1.0456864152292	0.306502640044053	0.578343256013365	FALSE
"hsa-miR-6511b-3p"	-0.364657066201643	1.80361490706316	1.04248230783633	0.3072448547571	0.578343256013365	FALSE
"hsa-miR-589-5p"	-0.19917963911287	4.42257680141173	1.0362517229834	0.308694827162399	0.579179871158116	FALSE
"hsa-miR-27b-3p"	-0.165118077268924	13.3977153453947	1.02895287195145	0.310404734863045	0.580497166497124	FALSE
"hsa-miR-877-5p"	0.314575026907466	3.24831532917798	1.02425560888285	0.311511689241328	0.580681983828494	FALSE
"hsa-miR-221-5p"	-0.195824345181122	8.40197271940121	1.01732450870121	0.313154484913243	0.581461147529179	FALSE
"hsa-miR-3609"	0.328112384984403	4.83223897993066	1.01316743456614	0.314145213731738	0.581461147529179	FALSE
"hsa-miR-337-5p"	-0.248495996405605	8.01396768482814	1.00767811092883	0.315459735035424	0.581461147529179	FALSE
"hsa-miR-145-3p"	-0.191051099591906	7.09084696061575	1.00131455912337	0.316992631972751	0.581461147529179	FALSE
"hsa-miR-425-5p"	-0.183934023180632	7.97295277345634	0.999235482300239	0.317495569506085	0.581461147529179	FALSE
"hsa-miR-1262"	0.33857506714015	2.60740918697091	0.997209934915237	0.31798656505502	0.581461147529179	FALSE
"hsa-miR-655-3p"	-0.37379333108298	3.45035474925611	0.98764983918236	0.320317453473854	0.583869788610568	FALSE
"hsa-miR-199a-3p"	-0.191557754021511	14.3396233636467	0.947518692178164	0.330351698070834	0.60026049870284	FALSE
"hsa-miR-128-3p"	0.167008546506101	11.069568056793	0.941083878777405	0.331999251579883	0.601357134937147	FALSE
"hsa-miR-760"	0.32186704324142	1.46519976278135	0.935176517975092	0.333521412799229	0.602220482045002	FALSE
"hsa-miR-1197"	0.396000846000711	1.37913480622988	0.91837525363839	0.337901939529097	0.608223491152374	FALSE
"hsa-miR-26b-3p"	-0.27241185345082	3.45031961630193	0.914212283647382	0.338999240707094	0.608297702951048	FALSE
"hsa-miR-539-5p"	0.418855994866028	1.45376687182247	0.908708559458629	0.340457308230969	0.609016799816889	FALSE
"hsa-miR-212-3p"	0.378607687023464	1.82840401874932	0.902568158380511	0.342094025636052	0.60958007873216	FALSE
"hsa-miR-3138"	0.347650956886217	0.806665705233148	0.896112850155196	0.34382614162439	0.60958007873216	FALSE
"hsa-miR-154-5p"	-0.264419492101347	6.52465125310705	0.895663724913922	0.343947093034639	0.60958007873216	FALSE
"hsa-miR-181c-5p"	-0.256849291422467	2.60357362814843	0.882192694542729	0.347601820639239	0.613406827130436	FALSE
"hsa-miR-199b-3p"	-0.185538804565648	13.2889897682735	0.871223203176669	0.350616896773653	0.613406827130436	FALSE
"hsa-miR-324-3p"	-0.241404186818425	6.11724248080914	0.869533215107849	0.351084566832816	0.613406827130436	FALSE
"hsa-miR-7704"	0.34335924835366	1.51994242462519	0.865801347003146	0.352120301814314	0.613406827130436	FALSE
"hsa-miR-330-3p"	-0.202413435787811	3.66796571681489	0.86290123530882	0.352928073132796	0.613406827130436	FALSE
"hsa-miR-330-5p"	-0.231913091537002	3.53874266391907	0.861718654491517	0.353258184910689	0.613406827130436	FALSE
"hsa-miR-3618"	-0.291352724623503	2.39921905996645	0.859097993207498	0.353991234901335	0.613406827130436	FALSE
"hsa-miR-3064-5p"	0.292929760586911	1.45871051900049	0.856835323020667	0.354625821934783	0.613406827130436	FALSE
"hsa-miR-589-3p"	-0.211415712441654	2.94890850711608	0.846186009325967	0.357633541139358	0.616757244599611	FALSE
"hsa-miR-6516-5p"	0.382683335540897	1.28128950582952	0.833451208828076	0.361276470688477	0.621179842138994	FALSE
"hsa-miR-664b-5p"	0.272258961579587	7.58883581834542	0.81952488347298	0.365319115351999	0.624697926447122	FALSE
"hsa-miR-374a-5p"	-0.184229967563727	8.93545254192878	0.818935212195214	0.365491668772014	0.624697926447122	FALSE
"hsa-miR-204-3p"	-0.559253008557943	0.255487764563315	0.814346223082795	0.366838400390508	0.625144729659564	TRUE
"hsa-miR-96-5p"	0.368381540912253	1.25540640606257	0.804115811905469	0.369865651343479	0.62718847303885	FALSE
"hsa-miR-766-3p"	0.50568291201814	0.545435227558323	0.799634344746893	0.371202716915713	0.62718847303885	TRUE
"hsa-miR-181c-3p"	-0.19544720267466	3.866672523667	0.799294831405049	0.371304286990014	0.62718847303885	FALSE
"hsa-miR-873-5p"	-0.588103095274547	0.414989779888972	0.769091892608046	0.380498129287815	0.64023085340811	TRUE
"hsa-miR-487a-5p"	0.260119875942134	2.85085321441893	0.764957354192811	0.381781570074867	0.64023085340811	FALSE
